Block,TrtNum,MinOil,Fert,month,response,vgrp
1,1,Low,Low S,1,93.4,1
2,1,Low,Low S,1,96.9,1
3,1,Low,Low S,1,92.9,1
4,1,Low,Low S,1,96.2,1
1,2,Low,High S,1,95,2
2,2,Low,High S,1,96.9,2
3,2,Low,High S,1,96.1,2
4,2,Low,High S,1,95.5,2
1,3,Low,Low H3PO3,1,97,1
2,3,Low,Low H3PO3,1,97.3,1
3,3,Low,Low H3PO3,1,96.9,1
4,3,Low,Low H3PO3,1,97.3,1
1,4,Low,High H3PO3,1,97.2,1
2,4,Low,High H3PO3,1,93.5,1
3,4,Low,High H3PO3,1,97.4,1
4,4,Low,High H3PO3,1,96.6,1
1,5,High,Low S,1,97.8,1
2,5,High,Low S,1,97,1
3,5,High,Low S,1,96.9,1
4,5,High,Low S,1,95.8,1
1,6,High,High S,1,96.8,2
2,6,High,High S,1,96.7,2
3,6,High,High S,1,97.4,2
4,6,High,High S,1,95.9,2
1,7,High,Low H3PO3,1,97.7,1
2,7,High,Low H3PO3,1,98.1,1
3,7,High,Low H3PO3,1,97.8,1
4,7,High,Low H3PO3,1,97.8,1
1,8,High,High H3PO3,1,97.9,1
2,8,High,High H3PO3,1,97,1
3,8,High,High H3PO3,1,98.1,1
4,8,High,High H3PO3,1,96.4,1
1,1,Low,Low S,2,97.5,1
2,1,Low,Low S,2,97.9,1
3,1,Low,Low S,2,96.9,1
4,1,Low,Low S,2,97.1,1
1,2,Low,High S,2,97.2,2
2,2,Low,High S,2,97.4,2
3,2,Low,High S,2,96.9,2
4,2,Low,High S,2,96.8,2
1,3,Low,Low H3PO3,2,98.3,1
2,3,Low,Low H3PO3,2,98.1,1
3,3,Low,Low H3PO3,2,95.9,1
4,3,Low,Low H3PO3,2,98.2,1
1,4,Low,High H3PO3,2,98,1
2,4,Low,High H3PO3,2,97,1
3,4,Low,High H3PO3,2,97.6,1
4,4,Low,High H3PO3,2,97.4,1
1,5,High,Low S,2,98.2,1
2,5,High,Low S,2,97.4,1
3,5,High,Low S,2,97.4,1
4,5,High,Low S,2,97.5,1
1,6,High,High S,2,97.5,2
2,6,High,High S,2,97.1,2
3,6,High,High S,2,97.7,2
4,6,High,High S,2,97,2
1,7,High,Low H3PO3,2,98.1,1
2,7,High,Low H3PO3,2,98.2,1
3,7,High,Low H3PO3,2,97.9,1
4,7,High,Low H3PO3,2,98.2,1
1,8,High,High H3PO3,2,98.2,1
2,8,High,High H3PO3,2,97.8,1
3,8,High,High H3PO3,2,98.2,1
4,8,High,High H3PO3,2,97.7,1
1,1,Low,Low S,3,85.5,1
2,1,Low,Low S,3,92.1,1
3,1,Low,Low S,3,94.7,1
4,1,Low,Low S,3,89.2,1
1,2,Low,High S,3,74.4,2
2,2,Low,High S,3,75.4,2
3,2,Low,High S,3,83.1,2
4,2,Low,High S,3,83.1,2
1,3,Low,Low H3PO3,3,96.6,1
2,3,Low,Low H3PO3,3,97.1,1
3,3,Low,Low H3PO3,3,94.2,1
4,3,Low,Low H3PO3,3,97.2,1
1,4,Low,High H3PO3,3,95.9,1
2,4,Low,High H3PO3,3,97.6,1
3,4,Low,High H3PO3,3,96.8,1
4,4,Low,High H3PO3,3,95.6,1
1,5,High,Low S,3,89.7,1
2,5,High,Low S,3,90,1
3,5,High,Low S,3,92.3,1
4,5,High,Low S,3,94.8,1
1,6,High,High S,3,79.1,2
2,6,High,High S,3,82.3,2
3,6,High,High S,3,83.5,2
4,6,High,High S,3,85.6,2
1,7,High,Low H3PO3,3,96.1,1
2,7,High,Low H3PO3,3,96.9,1
3,7,High,Low H3PO3,3,96.9,1
4,7,High,Low H3PO3,3,97.6,1
1,8,High,High H3PO3,3,97,1
2,8,High,High H3PO3,3,96.8,1
3,8,High,High H3PO3,3,97,1
4,8,High,High H3PO3,3,97.1,1
1,1,Low,Low S,4,94.7,1
2,1,Low,Low S,4,94.7,1
3,1,Low,Low S,4,96,1
4,1,Low,Low S,4,94.9,1
1,2,Low,High S,4,94.1,2
2,2,Low,High S,4,94,2
3,2,Low,High S,4,93.6,2
4,2,Low,High S,4,93.5,2
1,3,Low,Low H3PO3,4,93.4,1
2,3,Low,Low H3PO3,4,95.8,1
3,3,Low,Low H3PO3,4,93.8,1
4,3,Low,Low H3PO3,4,95.4,1
1,4,Low,High H3PO3,4,94.8,1
2,4,Low,High H3PO3,4,93.9,1
3,4,Low,High H3PO3,4,95.2,1
4,4,Low,High H3PO3,4,92.4,1
1,5,High,Low S,4,98.2,1
2,5,High,Low S,4,98.2,1
3,5,High,Low S,4,97.5,1
4,5,High,Low S,4,97.6,1
1,6,High,High S,4,97.4,2
2,6,High,High S,4,97,2
3,6,High,High S,4,97.7,2
4,6,High,High S,4,97.4,2
1,7,High,Low H3PO3,4,96.4,1
2,7,High,Low H3PO3,4,97.5,1
3,7,High,Low H3PO3,4,97.2,1
4,7,High,Low H3PO3,4,96.8,1
1,8,High,High H3PO3,4,97.5,1
2,8,High,High H3PO3,4,96.3,1
3,8,High,High H3PO3,4,97.3,1
4,8,High,High H3PO3,4,96.7,1
