Block,TrtNum,MinOil,Fert,month,response,vgrp,vgrp2
1,1,Low,Low S,1,96.9,1,1
2,1,Low,Low S,1,96.4,1,1
3,1,Low,Low S,1,95.7,1,1
4,1,Low,Low S,1,94.4,1,1
1,2,Low,High S,1,96.2,2,1
2,2,Low,High S,1,97,2,1
3,2,Low,High S,1,96.4,2,1
4,2,Low,High S,1,95.6,2,1
1,3,Low,Low H3PO3,1,95.5,1,1
2,3,Low,Low H3PO3,1,97,1,1
3,3,Low,Low H3PO3,1,96.6,1,1
4,3,Low,Low H3PO3,1,95.5,1,1
1,4,Low,High H3PO3,1,97,1,1
2,4,Low,High H3PO3,1,97.3,1,1
3,4,Low,High H3PO3,1,97.2,1,1
4,4,Low,High H3PO3,1,92.2,1,1
1,5,High,Low S,1,96.8,1,1
2,5,High,Low S,1,97.6,1,1
3,5,High,Low S,1,97.5,1,1
4,5,High,Low S,1,96.7,1,1
1,6,High,High S,1,96.3,2,2
2,6,High,High S,1,96.3,2,2
3,6,High,High S,1,95.5,2,2
4,6,High,High S,1,92.9,2,2
1,7,High,Low H3PO3,1,97.9,1,1
2,7,High,Low H3PO3,1,98,1,1
3,7,High,Low H3PO3,1,97.8,1,1
4,7,High,Low H3PO3,1,97,1,1
1,8,High,High H3PO3,1,97.5,1,1
2,8,High,High H3PO3,1,97.9,1,1
3,8,High,High H3PO3,1,97.9,1,1
4,8,High,High H3PO3,1,98.2,1,1
1,1,Low,Low S,2,96.8,1,1
2,1,Low,Low S,2,96.3,1,1
3,1,Low,Low S,2,96.3,1,1
4,1,Low,Low S,2,94.7,1,1
1,2,Low,High S,2,94.7,2,1
2,2,Low,High S,2,96,2,1
3,2,Low,High S,2,94.9,2,1
4,2,Low,High S,2,93.6,2,1
1,3,Low,Low H3PO3,2,96.7,1,1
2,3,Low,Low H3PO3,2,97,1,1
3,3,Low,Low H3PO3,2,96,1,1
4,3,Low,Low H3PO3,2,97,1,1
1,4,Low,High H3PO3,2,97.5,1,1
2,4,Low,High H3PO3,2,98.3,1,1
3,4,Low,High H3PO3,2,97.6,1,1
4,4,Low,High H3PO3,2,96.1,1,1
1,5,High,Low S,2,94.5,1,1
2,5,High,Low S,2,95.4,1,1
3,5,High,Low S,2,95.5,1,1
4,5,High,Low S,2,93.8,1,1
1,6,High,High S,2,91.2,2,2
2,6,High,High S,2,91.3,2,2
3,6,High,High S,2,90.7,2,2
4,6,High,High S,2,87.1,2,2
1,7,High,Low H3PO3,2,97.3,1,1
2,7,High,Low H3PO3,2,97.1,1,1
3,7,High,Low H3PO3,2,96.9,1,1
4,7,High,Low H3PO3,2,96.6,1,1
1,8,High,High H3PO3,2,96.7,1,1
2,8,High,High H3PO3,2,97.2,1,1
3,8,High,High H3PO3,2,97.2,1,1
4,8,High,High H3PO3,2,97.2,1,1
1,1,Low,Low S,3,96.8,1,1
2,1,Low,Low S,3,96.3,1,1
3,1,Low,Low S,3,96.6,1,1
4,1,Low,Low S,3,96.2,1,1
1,2,Low,High S,3,93.7,2,1
2,2,Low,High S,3,95.5,2,1
3,2,Low,High S,3,95,2,1
4,2,Low,High S,3,94.7,2,1
1,3,Low,Low H3PO3,3,97.6,1,1
2,3,Low,Low H3PO3,3,97.7,1,1
3,3,Low,Low H3PO3,3,97.9,1,1
4,3,Low,Low H3PO3,3,98.6,1,1
1,4,Low,High H3PO3,3,97.9,1,1
2,4,Low,High H3PO3,3,98.9,1,1
3,4,Low,High H3PO3,3,98.7,1,1
4,4,Low,High H3PO3,3,98,1,1
1,5,High,Low S,3,94.6,1,1
2,5,High,Low S,3,94,1,1
3,5,High,Low S,3,94.7,1,1
4,5,High,Low S,3,93.7,1,1
1,6,High,High S,3,88.8,2,2
2,6,High,High S,3,88.5,2,2
3,6,High,High S,3,88.4,2,2
4,6,High,High S,3,86.4,2,2
1,7,High,Low H3PO3,3,98.3,1,1
2,7,High,Low H3PO3,3,97.9,1,1
3,7,High,Low H3PO3,3,97.8,1,1
4,7,High,Low H3PO3,3,97.4,1,1
1,8,High,High H3PO3,3,97.4,1,1
2,8,High,High H3PO3,3,98.1,1,1
3,8,High,High H3PO3,3,98.1,1,1
4,8,High,High H3PO3,3,98.2,1,1
1,1,Low,Low S,4,98.2,1,1
2,1,Low,Low S,4,98,1,1
3,1,Low,Low S,4,97.9,1,1
4,1,Low,Low S,4,98.6,1,1
1,2,Low,High S,4,98,2,1
2,2,Low,High S,4,97.7,2,1
3,2,Low,High S,4,97.8,2,1
